ID;Title;Year;Color;Format;Orientation;Style;Dimensions;Price;Image
GU02501;Facadism;2014;White;jpg;Landscape;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179974/artPosters/GU02501_facadism_white_z7jsus.jpg
GU02502;Facadism Sky;2014;Sky;jpg;Landscape;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179974/artPosters/GU02502_facadism_sky_gotkmi.jpg
GU02503;Facadism Sand;2014;Sand;jpg;Landscape;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179975/artPosters/GU02503_facadism_sand_pp1foe.jpg
GU02504;Facadism Earth;2014;Earth;jpg;Landscape;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179975/artPosters/GU02504_facadism_earth_g833zl.jpg
GU02505;Facadism Mint;2014;Mint;jpg;Landscape;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179976/artPosters/GU02505_facadism_mint_mrbzah.jpg
GU02506;Conscious City;2014;White;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179976/artPosters/GU02506_consciousCity_white_fni9rg.jpg
GU02507;Conscious City Sun;2014;Sun;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179977/artPosters/GU02507_consciousCity_sun_npqiju.jpg
GU02508;Conscious City Sand;2014;Sand;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179978/artPosters/GU02508_consciousCity_sand_jnfgro.jpg
GU02509;Conscious City Earth;2014;Earth;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179980/artPosters/GU02509_consciousCity_earth_td8psi.jpg
GU02510;Conscious City Mint;2014;Mint;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179979/artPosters/GU02510_consciousCity_mint_czv5xp.jpg
GU02511;God Is In The Detail;2022;White;jpg;Landscape;Typography;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179980/artPosters/GU02511_godIsInTheDetails_white_hoojjc.jpg
GU02512;God Is In The Detail Black;2022;Black;jpg;Landscape;Typography;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179981/artPosters/GU02512_godIsInTheDetails_black_dyf1jk.jpg
GU02513;God Is In The Detail Sky;2022;Sky;jpg;Landscape;Typography;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179982/artPosters/GU02513_godIsInTheDetails_sky_q0nfee.jpg
GU02514;God Is In The Detail Sand;2022;Sand;jpg;Landscape;Typography;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179983/artPosters/GU02514_godIsInTheDetails_sand_qk8fea.jpg
GU02515;God Is In The Detail Mint;2022;Mint;jpg;Landscape;Typography;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179984/artPosters/GU02515_godIsInTheDetails_mint_q4syar.jpg
GU02516;Stacked City;2020;White;jpg;Square;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179986/artPosters/GU02516_stackedCity_white_hbj78n.jpg
GU02517;Stacked City Sky;2020;Sky;jpg;Square;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179988/artPosters/GU02517_stackedCity_sky_depnc3.jpg
GU02518;Stacked City Sand;2020;Sand;jpg;Square;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179987/artPosters/GU02518_stackedCity_sand_ep1u3c.jpg
GU02519;Stacked City Earth;2020;Earth;jpg;Square;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179989/artPosters/GU02519_stackedCity_earth_fsftqu.jpg
GU02520;Stacked City Mint;2020;Mint;jpg;Square;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179990/artPosters/GU02520_stackedCity_mint_m99yq1.jpg
GU02521;Urban Virus;2016;White;jpg;Circle;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179992/artPosters/GU02521_urbanVirus_white_jj2oie.jpg
GU02522;Urban Virus Sun;2016;Sun;jpg;Circle;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179993/artPosters/GU02522_urbanVirus_sun_trsjag.jpg
GU02523;Urban Virus Sand;2016;Sand;jpg;Circle;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179992/artPosters/GU02523_urbanVirus_sand_iw9qq4.jpg
GU02524;Urban Virus Earth;2016;Earth;jpg;Circle;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179993/artPosters/GU02524_urbanVirus_earth_fwvoqh.jpg
GU02525;Urban Virus Mint;2016;Mint;jpg;Circle;Illustration;50x50 cm;30;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179995/artPosters/GU02525_urbanVirus_mint_lde109.jpg
GU02526;Vertical City;2020;White;jpg;Portrait;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179997/artPosters/GU02526_verticalCity_white_es5z4t.jpg
GU02527;Vertical City Sun;2020;Sun;jpg;Portrait;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179997/artPosters/GU02527_verticalCity_sun_knwt76.jpg
GU02528;Vertical City Sky;2020;Sky;jpg;Portrait;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180000/artPosters/GU02528_verticalCity_sky_wdnqfr.jpg
GU02529;Vertical City Earth;2020;Earth;jpg;Portrait;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759179999/artPosters/GU02529_verticalCity_earth_lmlsgv.jpg
GU02530;Vertical City Mint;2020;Mint;jpg;Portrait;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180001/artPosters/GU02530_verticalCity_mint_q62v5g.jpg
GU02531;Permeability;2021;Black;jpg;Landscape;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180000/artPosters/GU02531_permeability_black_azxtv1.jpg
GU02532;Permeability Sky;2021;Sky;jpg;Landscape;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180004/artPosters/GU02532_permeability_sand_gjfppi.jpg
GU02533;Permeability Sand;2021;Sand;jpg;Landscape;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180004/artPosters/GU02533_permeability_sky_r0lvjd.jpg
GU02534;Permeability Earth;2021;Earth;jpg;Landscape;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180004/artPosters/GU02534_permeability_earth_drnfy0.jpg
GU02535;Permeability Mint;2021;Mint;jpg;Landscape;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180007/artPosters/GU02535_permeability_mint_hp9ubm.jpg
GU02536;Bauhaus;2025;White;svg;Square;Abstract;50x50 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180008/artPosters/GU02536_bauhaus_white_zreppe.svg
GU02537;Bauhaus black;2025;Black;svg;Square;Abstract;50x50 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180009/artPosters/GU02537_bauhaus_black_kgfxlr.svg
GU02538;Bauhaus sand;2025;Sand;svg;Square;Abstract;50x50 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180010/artPosters/GU02538_bauhaus_sand_vmnucv.svg
GU02539;Bauhaus earth;2025;Earth;svg;Square;Abstract;50x50 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180012/artPosters/GU02539_bauhaus_earth_pqqgdj.svg
GU02540;Bauhaus mint;2025;Mint;svg;Square;Abstract;50x50 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180013/artPosters/GU02540_bauhaus_mint_h2cfqe.svg
GU02541;Heart;2025;White;svg;Landscape;Abstract;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180014/artPosters/GU02541_heart_white_tvwxhl.svg
GU02542;Heart Sun;2025;Sun;svg;Landscape;Abstract;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180018/artPosters/GU02542_heart_sun_cmrprt.svg
